Generation number;Average evalution;Best evalution;Average fitness;Best fitness
0;0,05191854;0,1563752;0,01;0,03011934
1;0,1113051;0,6059344;0,01;0,05443906
2;0,1138009;0,3777152;0,009999997;0,03319089
3;0,1288107;0,4548671;0,01;0,03531283
4;0,1386866;0,5341112;0,01;0,03851209
5;0,1485133;0,4777036;0,009999997;0,03216572
6;0,2032928;0,6944495;0,01;0,03416006
7;0,2757869;0,6729099;0,009999997;0,02439963
8;0,3611027;0,6734754;0,009999996;0,01865052
9;0,3918457;0,6707794;0,009999995;0,01711846
10;0,4168358;0,6557301;0,01;0,01573114
11;0,4123757;0,6746467;0,01;0,01636
12;0,4264175;0,6774131;0,01;0,01588614
13;0,42144;0,6800747;0,009999999;0,01613693
14;0,4127399;0,6772829;0,01;0,01640944
15;0,4367278;0,6617323;0,01;0,01515205
16;0,4466359;0,6815254;0,01;0,01525908
17;0,4499672;0,6614605;0,01;0,01470019
18;0,4071548;0,6799397;0,01;0,01669978
19;0,4402861;0,6643533;0,01;0,01508913
20;0,4474156;0,6820213;0,009999999;0,01524358
21;0,4317584;0,6982631;0,009999996;0,01617254
22;0,4534917;0,6804956;0,01;0,01500569
23;0,4417326;0,692906;0,009999997;0,0156861
24;0,4886931;0,6886094;0,009999998;0,01409084
25;0,5309781;0,6887004;0,01;0,01297041
26;0,5707632;0,6776679;0,009999999;0,01187301
27;0,5644091;0,6775403;0,01;0,01200442
28;0,5599486;0,6796351;0,01;0,01213746
29;0,5643741;0,6827025;0,009999998;0,01209663
30;0,5668886;0,6874306;0,01;0,01212638
31;0,5761275;0,6827563;0,01;0,01185078
32;0,5625741;0,6874875;0,01;0,01222039
33;0,564186;0,6874545;0,01;0,01218489
34;0,5567536;0,6874555;0,01;0,01234757
35;0,578474;0,6874776;0,01;0,01188433
36;0,5585145;0,6874423;0,009999997;0,0123084
37;0,5825936;0,6874624;0,009999996;0,01180003
38;0,5806196;0,6874568;0,009999995;0,01184005
39;0,5828259;0,6874568;0,009999999;0,01179523
40;0,5704099;0,687465;0,01;0,01205212
41;0,5522893;0,6874555;0,01;0,01244738
42;0,5433711;0,6874555;0,009999998;0,01265167
43;0,567853;0,6874663;0,01;0,01210641
44;0,5707204;0,6874774;0,009999999;0,01204578
45;0,5693693;0,6874646;0,01;0,01207414
46;0,5793723;0,6875331;0,01;0,01186686
47;0,5507369;0,6875721;0,009999995;0,01248458
48;0,5320643;0,687465;0,01;0,01292071
49;0,5705602;0,6874695;0,009999998;0,01204903
50;0,574188;0,6874647;0,01;0,01197281
51;0,5658758;0,6874648;0,009999998;0,01214869
52;0,5714008;0,6874618;0,01;0,01203116
53;0,5792096;0,6875815;0,009999998;0,01187103
54;0,5554888;0,6874611;0,01;0,01237579
55;0,5616619;0,6875083;0,01;0,01224061
56;0,5660459;0,6874785;0,01;0,01214528
57;0,5693357;0,6874598;0,01;0,01207477
58;0,5618136;0,6898943;0,009999998;0,01227977
59;0,5734801;0,6874647;0,01;0,01198759
